status,uuid,seg1,seg2,seg3,seg4,seg5,seg6,bound1,bound2,bound3,bound4,bound5,bound6,bound7,bound8
ok,1001,22.000920835012177,22.03343260054576,20.94521668619115,21.99169069331965,22.05849338093509,21.866453743634768,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1002,21.97196626648434,22.01198469094424,21.478061055862185,21.52257882070126,20.92277905240838,21.44849478351372,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1003,22.040663219194915,22.053127296929816,20.91359894310084,21.466227869406236,22.142424477871366,17.349383502758133,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1004,21.98631216932678,22.059002815470983,20.9045207189864,21.507932551342197,22.098400128092752,21.992572093173067,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1005,21.973388492099392,22.041177833416754,20.836060320414177,21.98973068961953,22.04916664802263,21.79531823818499,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1006,21.944459424061588,21.993750821009183,22.07806294348288,22.081567565501892,20.892790944771193,21.64738564624017,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1007,22.00738212331543,21.986179487717628,22.02139272937107,22.048269375994227,20.999935357994126,21.548791864135012,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1008,22.006719055307723,22.074061005441965,20.897909672195013,21.604612793245888,22.00361220062627,21.92531952191415,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1009,21.98897663503017,22.01122643172237,21.486076451359928,21.500437737407054,20.84012680338717,20.97249705519941,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1010,21.99045314122855,22.03412486508078,21.93915630476417,22.01035040174029,20.88087237530594,21.644223230205522,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1011,21.91806208207554,22.03537957294875,20.89154633655235,21.974175504411875,22.00811303683637,19.69920573690137,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1012,21.986393698834533,22.005256481289933,20.94847420757461,21.985652194733838,22.03608847999603,21.858426945297364,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1013,21.508169009671157,21.989282540589755,21.08079835124704,21.395418467940125,22.145785375197697,15.900773464835165,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1014,22.012852863953395,22.04186505330482,20.908397494700697,21.64933460572505,22.139116911450355,21.969827539911815,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1015,22.007259110471555,22.07350763293423,20.867513669780635,21.985239006448385,22.012067657904634,21.81899773139283,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1016,21.979403817236882,22.105896884589004,21.92193125883587,22.01143600964425,20.9527783989636,21.5879248764351,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1017,22.035423771757166,22.102745629933807,20.97476389714506,21.510132358535962,22.10120679098099,21.990452537166167,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1018,21.992780947674916,22.056799955635025,20.99035272453156,21.62665826808414,22.043615571118224,21.990573603738643,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1019,21.937979263648597,22.057630694327177,20.959272561195274,21.57832549040123,22.022417581158223,22.099893303616962,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1020,22.030229437175947,22.11947150444926,21.499468704113657,21.52902302451992,20.898041830797233,21.435290943321398,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1021,22.022813376301862,21.982122211926864,22.097095175239883,21.91119170613321,22.004738244569342,20.959512855447446,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1022,21.982386934666604,21.985563881102433,22.11292246644476,21.886562464327785,22.00661464656,20.946455432657363,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1023,22.009829563559663,22.018465276402946,20.949800670961316,21.64451152596607,22.154820285411645,21.974828390366,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1024,21.965668344315656,22.005588911618716,20.950790855886456,21.565695190047734,22.08332528749592,21.950261689877486,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1025,22.065342613813215,22.14739044852081,20.99479025592192,21.951053540502105,22.21785655273959,18.008103119961817,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1026,22.040104935473742,22.04624774005492,20.93801928297393,21.51182705878264,22.095517971759264,21.977787134702737,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1027,21.99893133052893,22.051721653320083,20.906144511688854,21.990257974173463,22.182732952825024,21.979603299776308,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1028,22.00681911485875,22.07266485763361,20.975744053900687,21.57947891469046,22.001680360671486,22.11003539354867,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1029,21.98096848274975,22.045166093969613,20.99643003118174,21.574458126725844,22.08130366617936,21.956872959239018,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1030,22.00257939465223,22.05812129854145,20.901705260573742,21.6488640810076,22.007529596375758,22.084353132134368,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1031,22.014699823107165,21.970846639928922,22.135325316491723,20.950818206007664,21.942771735263904,22.22212606573602,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1032,21.98778626614971,22.01139016410536,20.92060220997916,21.569790962808558,22.12517649561121,17.418735907822658,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1033,22.004962379162276,21.985969166282565,22.12356752915658,21.973756005514606,22.012918469214288,20.950375311555725,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1034,22.053950203843325,22.054678877698336,20.98742434231239,21.99025957734855,22.166427025568634,21.917594988848712,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1035,22.028217942350665,22.03036742569702,20.968049503127958,21.593856822376736,22.128530737682514,15.90502099535653,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1036,21.98781299914928,22.02664290304195,20.944254631794603,21.96891189611264,22.020382716762533,21.89016068514866,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1037,22.011263875965703,22.011779927086607,20.91967428679669,21.986785815423264,22.018510491722427,21.849013462802244,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1038,21.56646903613751,22.05325151022874,20.92753505288304,20.969011220392257,21.51257746438381,21.474548408124992,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1039,21.944161681013433,22.01163234960991,20.936810004034236,21.540715261935116,22.02619094408679,22.031547277399007,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1040,22.02379542033538,22.16884470561277,20.89280058538468,21.51732386093681,22.003853643524838,22.10320888864213,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1041,21.944772690735775,22.12396643769651,20.950655765827673,21.532745721427975,22.096289165705162,21.970474452282406,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1042,21.9902804707895,22.002950528357065,21.48444738288252,21.53633956139273,20.784218326492553,21.493201087131066,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1043,21.91297846511967,22.004294664403098,17.291721332704356,21.991618521078202,22.055909781701743,21.972509709762512,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1044,21.938363863743586,22.13470283356498,21.482452393578747,21.51967074832855,21.004533721639703,21.485488958801252,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1045,21.581542708871844,22.0361879609399,20.989164718926776,21.04804928123747,21.53996482212022,21.441697722744482,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1046,22.00522512862834,22.034476907644567,20.93813705138027,21.592307902468765,22.00530841417678,22.033561584094706,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1047,21.501608896629392,22.065281553322805,20.947656250688468,21.026291616394232,20.85438034757883,20.961566590238963,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1048,21.952974748222353,22.010088195307276,20.95973599836834,21.98593361480721,22.014029433594754,21.791886541259448,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1049,22.005731052749802,21.97413909934975,22.07257699540861,21.92392593725657,22.00935829037271,20.992575436886273,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1050,22.024419296756776,22.025450405328616,20.909973268912974,21.9479915363157,22.010481721147215,22.11912104864027,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1051,22.031539650866982,22.088158467003456,20.87790243679829,21.592264464217173,22.106302932944253,17.456350696230793,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1052,21.955506962394914,22.008552231008792,20.912458976535746,21.602899845274575,22.03649661274457,22.054776536551834,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1053,22.008680719638544,22.060339205366912,21.477635945743074,21.52247556249774,20.908945125417716,21.395748166282164,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1054,22.057515283987975,22.062697020350594,21.015686059593573,21.56742930815817,22.076758271158184,17.266892157444627,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1055,22.085220182883855,21.931294759268543,22.02606050887192,22.114302539174936,21.029020428086806,21.597211122751286,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1056,22.002628077357183,22.05638028188461,21.91686691180166,22.024956071038712,22.066610390685597,20.991126735709575,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1057,21.95577751048498,21.96147721999502,22.014082817142768,22.130137730238093,21.036192251678816,21.59291042804539,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1058,22.001474573280063,22.033538442909837,21.48237360572661,21.524248661645416,20.889708598737613,20.97768430970865,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1059,21.971938427249512,22.030123393682707,20.91746710010182,21.638671776949916,22.144585594810927,21.989842731750823,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1060,21.56160822584071,22.03454676123588,20.812656091899537,21.40778991100583,21.970548760495426,17.15598428642874,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
nok,1061,21.946398563458974,22.00007586901865,21.902704427334662,22.04213736560825,22.126109062512363,20.983759608110763,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1062,22.025662950587716,22.093334523684938,20.91303885984126,21.690352614282904,22.002554989290047,22.084728314633175,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
ok,1063,21.914133726313683,22.013393073362703,20.93793843619314,21.605404197837444,22.056123134802863,21.99031129091616,19.9,22.1,20.5,22.1,17.2,22.1,15.9,16.1
