value,timestamp,status,uuid,bound1,bound2,bound3,bound4,bound5,bound6,bound7,bound8,bound9,bound10,bound11,bound12
16.32,0,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.39,3,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.41,7,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.44,10,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.46,14,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.5,19,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.53,23,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.55,26,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.58,29,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.6,33,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.63,36,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.66,40,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.72,49,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.76,53,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.79,56,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.81,60,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.84,64,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.87,67,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.89,71,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.92,74,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.94,78,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.97,82,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
16.99,86,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.02,89,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.04,93,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.07,97,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.09,100,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.11,104,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.13,107,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.16,111,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.18,115,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.2,119,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.22,122,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.24,126,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.28,133,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.31,137,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.33,141,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.35,145,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.36,149,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.38,152,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.4,156,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.41,160,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.43,163,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.44,167,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.45,171,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.46,175,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.48,179,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.49,182,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.5,186,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.51,190,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.52,193,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.53,197,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.54,201,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.55,205,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.56,208,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.57,212,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.58,216,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.59,222,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.6,225,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.61,229,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.62,233,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.63,237,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.64,241,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
17.66,251,ok,1824,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
